title	gposition	hposition	gmatch	hmatch	quality	guten_chunklen	hathi_chunklen	guten_charsleft	hathi_charsleft	comments
58310	204380	218648	"e to be annulled at any
 moment by Arthur’s reappearance on the political scene."	"to be annulled at

any moment by Arthur's reappearance on the political

scene. "	1.0043589743589743	41179	50761	490963	497802	
58310	245297	266293	"I am King of England!”[477] He took up afresh the plan
 which Hubert had foiled."	" I am King of

England l’” He took up afresh the plan which Hubert had

foiled. "	0.975945945945946	40917	47645	450046	450157	
58310	286338	287260	"s could always find a plea for denouncing its exercise as
 arbitrary and unjust."	" could always find a plea for denouncing its

exercise as arbitrary and unjust. "	1.0168421052631578	41041	20967	409005	429190	
58310	327245	342942	"sory,[653] for
 which he owed homage to William the Marshal as lord of Leinster."	" Ossory,"" for which he owed homage to William the

Marshal as lord of Leinster. "	0.9894594594594595	40907	55682	368098	373508	
58310	370427	365310	" Chart._ pp. 171 b, 172, 172 b. Cf. an inquisition ordered
 April 3, 1206 (_Rot."	". Chart. pp. 171 b, 172, 172 b. Cf. an inquisition ordered April 3, 1206

(Rot. "	0.9341095890410959	43182	22368	324916	351140	
58310	411187	419145	"reat importance to Innocent for carrying into effect his own political
 designs."	"reat importance

to Innocent for carrying into effect his own political designs."	1.0166666666666666	40760	53835	284156	297305	
58310	451715	469483	" Eu came to us with the said Geoffrey
 of Lusignan and did us homage and fealty."	"u came to us with

the said Geoffrey of Lusignan and did us homage and fealty.

"	1.002972972972973	40528	50338	243628	246967	
58310	492685	517899	"likely date.
 
 [885] R. Wendover, vol. iii. pp. 285, 286. Cf. R. Coggeshall, p."	" absolution at

2

* R. Wendover, vol. iii. pp. 293, 294. Cf. R. Coggeshall, p. "	0.7327027027027028	40970	48416	202658	198551	
58310	538123	538066	"obert de Béthune found
 their way to him and offered themselves for his service."	"bert de Béthune found their way

to him and offered themselves for his service. "	1.017012987012987	45438	20167	157220	178384	
58310	590390	585952	"her corners, and which replaces the original square one thus
 destroyed by John."	"er corners, and which replaces the original square

one thus destroyed by John. "	1.002972972972973	52267	47886	104953	130498	
58310	642824	649045	"unning up and down amid
 the smoke and the flames till the whole territory of S."	"ning up and

down amid the smoke and the flames till the whole territory

of S. "	1.0236305732484077	52434	63093	52519	67405	
58310	695343	686140	"t for conscience’s sake, but because their consciences
 accused them of treason."	"r conscience's sake, but because their

consciences accused them of treason.



"	0.9973202614379085	52519	37095	0	30310	
