chunkid	passagefails	worderrors
370_1	0.02113	0.13204
370_2	0.02036	0.12357
370_3	0.03844	0.12654
370_4	0.05929	0.13306
370_5	0.04001	0.1276
370_6	0.03376	0.12601
370_7	0.0641	0.12004
34669_0	0.01483	0.01544
51967_0	0.02064	0.13478
51967_1	0.0086	0.12462
51967_2	0.01089	0.12875
51967_3	0.04824	0.13782
51967_4	0.01123	0.13742
51967_5	0.1023	0.12476
51967_6	0.01583	0.13324
51967_7	0.01158	0.13886
51967_8	0.01035	0.12036
51967_9	0.16632	0.12973
28271_0	0.02952	0.00936
28271_1	0.00417	0.00747
28271_2	0.00265	0.01093
28271_3	0.0066	0.00815
41990_0	0.04395	0.00519
41990_1	0.00148	0.00271
41990_10	0.00071	0.00214
41990_11	0.00249	0.0032
41990_2	0.00286	0.00304
41990_3	0.00427	0.00383
41990_4	0.0022	0.00319
41990_5	0.00068	0.00248
41990_6	0.00132	0.00318
41990_7	0.00199	0.00237
41990_8	0.00573	0.00245
41990_9	0.0057	0.00291
54351_0	0.01173	0.00853
54351_1	0.00303	0.01124
54351_2	0.00375	0.00923
54351_3	0.14229	0.01169
46345_0	0.03834	0.01233
46345_1	0.047	0.01162
48396_0	0.0211	0.00807
48396_1	0.00355	0.00924
48396_2	0.00198	0.0075
48396_3	0.0019	0.00932
48396_4	0.2347	0.01014
12259_0	0.12784	0.13821
12259_1	0.10177	0.13026
12259_2	0.04337	0.12915
12259_3	0.03841	0.12773
12259_4	0.07989	0.13545
12259_5	0.07978	0.13201
12259_6	0.18308	0.13611
15697_0	0.06537	0.01022
15697_1	0.03415	0.01181
15697_2	0.03688	0.01223
15697_3	0.03876	0.0123
15697_4	0.04184	0.01042
32772_0	0.03956	0.00391
32772_1	0.00767	0.00228
32772_2	0.00549	0.00306
32772_3	0.00563	0.00372
32772_4	0.01716	0.00335
42281_0	0.0853	0.0145
42281_1	0.00259	0.01524
42281_2	0.03919	0.01303
27223_0	0.01468	0.00963
27223_1	0.00152	0.01036
27223_2	0.00248	0.00986
27223_3	0.03017	0.00819
57539_0	0.02198	0.01557
57539_1	0.00798	0.01615
57539_2	0.00874	0.01735
57539_3	0.01384	0.01484
57539_4	0.1122	0.01831
44791_0	0.03318	0.01881
44791_1	0.00957	0.01795
44791_2	0.0144	0.01702
44791_3	0.00938	0.0138
44791_4	0.01102	0.01984
44791_5	0.00488	0.01685
44791_6	0.05108	0.01112
44791_7	0.00681	0.01107
20203_0	0.95376	0.01533
20203_1	0.5659	0.01091
20203_2	0.18442	0.01218
20203_3	0.28358	0.01473
20203_4	0.41993	0.01549
20203_5	0.23246	0.01482
20203_6	0.05447	0.01372
20203_7	0.59004	0.01639
20203_8	1.0	0.0
46233_0	0.04727	0.00518
46233_1	0.00135	0.00612
46233_2	0.00464	0.00729
46233_3	0.00369	0.0057
37343_0	0.05855	0.01366
37343_1	0.02394	0.01242
37343_2	0.05208	0.01279
37343_3	0.03011	0.01338
57110_0	0.03888	0.00751
57110_1	0.00235	0.00916
57110_2	0.21565	0.00905
30606_0	0.01583	0.00193
30606_1	0.00099	0.00103
30606_2	4e-05	0.00229
30606_3	0.0	0.00181
30606_4	0.00058	0.00186
30606_5	0.00056	0.00216
30606_6	0.0	0.00215
30606_7	0.0	0.00318
30606_8	0.0	0.0033
30606_9	0.00235	0.00179
41438_0	0.01659	0.01045
41438_1	0.00064	0.00557
41438_2	0.00606	0.00966
41438_3	0.02074	0.00739
58183_0	0.03731	0.01431
58183_1	0.00387	0.01137
58183_2	0.01318	0.01099
58183_3	0.00741	0.01094
58183_4	0.00746	0.01245
58183_5	0.00757	0.01061
58183_6	0.26253	0.01045
27780_0	0.02078	0.00716
27780_1	0.00312	0.00722
27780_2	0.00293	0.00617
27780_3	0.0	0.00737
27780_4	0.00395	0.00706
11030_0	0.11391	0.00866
11030_1	0.02046	0.0127
11030_2	0.02464	0.00742
11030_3	0.0264	0.00985
11030_4	0.02771	0.00909
11030_5	0.08966	0.01026
48637_0	0.02748	0.00759
40525_0	0.02201	0.0287
40525_1	0.003	0.02302
40525_2	0.00418	0.0224
40525_3	0.00587	0.02165
43628_0	0.99254	0.0122
43628_1	0.02305	0.02191
43628_2	0.0216	0.01742
43628_3	0.02982	0.02182
43628_4	0.02305	0.02343
43628_5	0.02757	0.02218
43628_6	0.03348	0.02329
43628_7	0.07899	0.03045
38488_0	0.09142	0.00379
38488_1	0.02026	0.00449
38488_2	0.02136	0.00242
38488_3	0.02213	0.00468
38488_4	0.04399	0.00342
41177_0	0.07131	0.00682
41177_1	0.0076	0.00847
41177_2	0.00812	0.00852
41177_3	0.00651	0.00597
41177_4	0.24805	0.00789
32371_0	0.01441	0.00542
32371_1	0.001	0.00364
32371_2	0.00301	0.00581
32371_3	0.00263	0.00526
37180_0	0.05005	0.01365
37180_1	0.00701	0.01576
29865_0	0.02988	0.00799
29865_1	0.00311	0.00895
29865_2	0.00418	0.00717
29865_3	0.00711	0.00743
57149_0	0.03889	0.01726
57149_1	0.01843	0.02483
57149_2	0.00539	0.02194
57149_3	0.01421	0.02373
36602_0	0.07514	0.00304
36602_1	0.00942	0.00295
36602_2	0.00663	0.00418
36602_3	0.01405	0.00293
36602_4	0.75682	0.00358
36173_0	0.0233	0.01986
36173_1	0.0	0.01849
36173_2	0.05991	0.01803
35484_0	0.01323	0.00626
35484_1	0.00236	0.00836
35484_2	0.00331	0.00804
35484_3	0.00135	0.00707
35484_4	0.0243	0.00767
50793_0	0.02968	0.00453
50793_1	0.02381	0.00486
37046_0	0.01993	0.00741
37046_1	0.0023	0.00814
37046_2	0.17936	0.00753
7777_0	0.26157	0.06129
7777_1	0.00122	0.02952
7777_10	0.0135	0.03228
7777_11	0.00742	0.03189
7777_2	0.00603	0.02579
7777_3	0.02029	0.02135
7777_4	0.05098	0.02576
7777_5	0.01421	0.02912
7777_6	0.0085	0.02239
7777_7	0.02861	0.02932
7777_8	0.00572	0.03241
7777_9	0.04189	0.03453
43076_0	0.0197	0.01071
43076_1	0.00706	0.0108
43076_2	0.02678	0.00991
43076_3	0.00179	0.00971
43076_4	0.0251	0.00831
43076_5	0.00138	0.01126
43076_6	0.00553	0.00741
43076_7	0.00115	0.00815
52782_0	0.0377	0.00703
52782_1	0.00989	0.00708
52782_2	0.00673	0.00807
52782_3	0.0161	0.00874
52962_0	0.01569	0.00827
52962_1	0.00296	0.00755
52962_2	0.01843	0.00693
52962_3	0.00145	0.00912
52962_4	0.00499	0.0077
52962_5	0.0034	0.00745
52962_6	0.05981	0.00714
30088_0	0.03252	0.01081
30088_1	0.10904	0.00774
30274_0	0.0267	0.03012
30274_1	0.02582	0.02113
30274_2	0.01244	0.02855
30274_3	0.11681	0.03715
42147_0	0.02357	0.01264
42147_1	0.01905	0.01273
42147_2	0.03238	0.01088
42147_3	0.0255	0.01186
46651_0	0.09422	0.02658
37686_0	0.15942	0.01461
37686_1	0.03947	0.01809
37686_2	0.04945	0.01621
37686_3	0.03726	0.0159
37686_4	0.3323	0.01754
28820_0	0.07288	0.00764
28820_1	0.00389	0.00818
28820_2	0.00373	0.00937
28820_3	0.00635	0.00962
28820_4	0.00723	0.00699
28820_5	0.12167	0.00834
40008_0	0.25083	0.00429
40008_1	0.01361	0.00435
54096_0	0.03591	0.01446
54096_1	0.00587	0.01212
54096_2	0.00134	0.01687
54096_3	0.0008	0.02048
54096_4	0.00261	0.00927
54096_5	0.00214	0.01489
54096_6	0.00678	0.01004
54096_7	0.00073	0.00966
54096_8	0.00282	0.00845
54096_9	0.09963	0.00657
35119_0	0.01841	0.01813
35119_1	0.00386	0.01827
35119_2	0.01838	0.02009
BondWHLbio_0	0.24601	0.03252
BondWHLbio_1	0.03962	0.03529
BondWHLbio_2	0.03625	0.04093
BondWHLbio_3	0.0399	0.04031
BondWHLbio_4	0.03796	0.0392
BondWHLbio_5	0.04455	0.03837
51299_0	0.43142	0.01432
51299_1	0.15578	0.01905
51299_2	0.25717	0.01868
