chunkid	passagefails	worderrors
36134_2	0.03822	0.00694
36134_3	0.04929	0.0063
36134_4	0.05262	0.00597
WartTLSbio_0	0.09476	0.03146
WartTLSbio_1	0.07272	0.02723
WartTLSbio_2	0.10372	0.03597
WartTLSbio_3	0.13744	0.04035
WartTLSbio_4	0.07309	0.05821
WartTLSbio_5	0.07064	0.07122
WartTLSbio_6	0.12636	0.06027
WartTLSbio_7	0.13476	0.04515
31510_0	0.00745	0.01745
31510_1	0.00238	0.01663
31510_2	0.00993	0.01439
51964_0	0.04932	0.00888
51964_1	0.00659	0.00849
51964_2	0.00747	0.00889
51964_3	0.00226	0.00945
51964_4	0.00812	0.00788
51964_5	0.00429	0.00777
51964_6	0.0564	0.00683
45708_0	0.01331	0.01641
45708_1	0.00245	0.01391
45708_2	0.23402	0.01532
34683_0	0.03933	0.00412
34683_1	0.00779	0.0046
34683_2	0.00534	0.00535
35576_0	0.03226	0.00964
35576_1	0.00305	0.00986
35576_2	0.00575	0.01279
35576_3	0.00353	0.01051
35576_4	0.00353	0.01263
31274_0	0.01846	0.00494
31274_1	0.00374	0.00346
31274_2	0.00122	0.00269
31274_3	0.0021	0.00404
31274_4	0.00366	0.00327
31274_5	0.00112	0.00324
31274_6	0.00427	0.00397
31274_7	0.00357	0.00342
31274_8	0.00458	0.00223
31473_0	0.0259	0.0094
31473_1	0.00053	0.01001
31473_2	0.01308	0.00872
31473_3	0.00405	0.0086
31473_4	0.01566	0.01145
SterLBSfic_0	0.31142	0.14489
SterLBSfic_1	0.05183	0.15128
SterLBSfic_2	0.07376	0.15246
SterLBSfic_3	0.68521	0.15388
42099_0	0.03587	0.01668
42099_1	0.00866	0.01799
42099_2	0.00551	0.02038
42099_3	0.00915	0.01755
SmolTHA2fic_0	0.05241	0.17068
SmolTHA2fic_1	0.0483	0.17578
57472_0	0.05274	0.01578
57472_1	0.03225	0.016
57472_2	0.04499	0.01597
57472_3	0.03713	0.01502
57472_4	0.03328	0.0169
57472_5	0.03099	0.01519
57472_6	0.02737	0.01486
57472_7	0.0361	0.01589
8223_0	0.02703	0.01612
8223_1	0.00119	0.01368
8223_2	0.0147	0.01523
8223_3	0.00058	0.01644
8223_4	0.00165	0.01365
8223_5	0.00391	0.01406
8223_6	0.00748	0.01362
42296_0	0.02092	0.01431
42296_1	0.00893	0.01705
42296_2	0.3287	0.01421
28885_0	0.06275	0.00738
28885_1	0.16063	0.00769
38894_0	0.10262	0.00969
38894_1	0.00919	0.00684
38894_2	0.0094	0.01158
38894_3	0.01573	0.0138
63339_0	0.03585	0.01976
63339_1	0.03566	0.01701
63339_2	0.02788	0.02488
63339_3	0.0305	0.01878
35619_0	0.01744	0.01329
35619_1	0.00085	0.01619
35619_2	0.0	0.01546
35619_3	0.0013	0.01401
35619_4	0.00332	0.01317
27553_0	0.08366	0.01057
27553_1	0.01716	0.01243
27553_2	0.01487	0.01224
27553_3	0.01944	0.01107
27553_4	0.02295	0.01213
27553_5	0.02357	0.01046
27553_6	0.02871	0.0178
27553_7	0.01937	0.00882
27553_8	0.58612	0.00921
GoldOLRbio_0	0.11521	0.0271
GoldOLRbio_1	0.07975	0.03148
GoldOLRbio_2	0.0496	0.02927
34667_0	0.04438	0.01625
34667_1	0.01821	0.0145
34667_2	0.02476	0.01263
33478_0	0.02759	0.0087
33478_1	0.00585	0.00805
33478_10	0.0	0.01328
33478_11	0.00207	0.01333
33478_12	0.22487	0.01036
33478_2	0.00626	0.00858
33478_3	0.00562	0.00933
33478_4	0.00398	0.01046
33478_5	0.00433	0.01059
33478_6	0.00294	0.01053
33478_7	0.0064	0.01
33478_8	0.00356	0.01071
33478_9	0.00189	0.01017
32835_0	0.08455	0.01376
32835_1	0.06467	0.01579
43982_0	0.02678	0.00784
43982_1	0.00769	0.00857
43982_2	0.01032	0.00831
43982_3	0.00828	0.00689
43982_4	0.00639	0.00787
43982_5	0.01317	0.01131
43982_6	0.00469	0.01022
43982_7	0.00672	0.01082
coventry.01_0	0.35946	0.16431
coventry.01_1	0.66473	0.15259
coventry.01_2	0.45079	0.15123
coventry.01_3	0.36067	0.15366
41616_0	0.04729	0.00839
41616_1	0.00416	0.00817
15455_0	0.10464	0.15245
15455_1	0.01387	0.15352
15455_2	0.01601	0.15158
15455_3	0.01841	0.15541
15455_4	0.05454	0.15624
56178_0	0.01321	0.01364
56178_1	0.00371	0.01991
56178_2	0.0072	0.01187
56178_3	0.00064	0.01371
56178_4	0.00522	0.01315
56178_5	0.00773	0.01086
56178_6	0.02577	0.01818
55471_0	0.02363	0.0063
55471_1	0.00061	0.00728
55471_2	0.00321	0.00798
55471_3	0.00259	0.00828
55471_4	0.00278	0.00619
55471_5	0.04181	0.00613
40874_0	0.1711	0.01796
40874_1	0.0096	0.01789
40874_2	0.00447	0.01785
40874_3	0.00948	0.01645
40874_4	0.00494	0.01575
40874_5	0.01334	0.02308
40874_6	0.01629	0.01534
40874_7	0.01177	0.01833
40874_8	0.01382	0.01654
40874_9	0.01594	0.01717
43358_0	0.03092	0.02301
43358_1	0.00557	0.02284
43358_2	0.00617	0.02275
43358_3	0.01036	0.02164
43358_4	0.00895	0.02678
37750_0	0.12147	0.01463
37750_1	0.02559	0.01039
37750_10	0.02789	0.00989
37750_11	0.04854	0.01159
37750_2	0.03444	0.01259
37750_3	0.03175	0.01026
37750_4	0.02238	0.00904
37750_5	0.01782	0.01
37750_6	0.02444	0.0114
37750_7	0.01914	0.00885
37750_8	0.03063	0.00883
37750_9	0.02051	0.01054
33325_0	0.01109	0.00572
33325_1	0.00115	0.00559
33325_2	0.00565	0.00575
33325_3	0.00954	0.00414
33325_4	0.54109	0.00446
33319_0	0.11454	0.00431
33319_1	0.02801	0.00448
33319_2	0.0348	0.00843
33319_3	0.02961	0.00861
33319_4	0.02653	0.00858
35531_0	0.05583	0.00863
35531_1	0.002	0.01163
35531_2	0.00059	0.01327
35531_3	0.00354	0.01012
35531_4	0.0029	0.0089
35531_5	0.00509	0.01189
35531_6	0.00419	0.00962
35531_7	0.17195	0.00838
28992_0	0.01943	0.025
28992_1	0.00472	0.02752
28992_2	0.00488	0.02428
28992_3	0.00241	0.03041
28992_4	0.00136	0.02564
28992_5	0.39228	0.02645
28366_0	0.11577	0.01001
28366_1	0.04508	0.01096
28366_2	0.03266	0.00973
28366_3	0.05198	0.00942
28366_4	0.02592	0.01023
28366_5	0.10618	0.01021
LennCFQfic_0	0.12685	0.03075
LennCFQfic_1	0.02678	0.02191
LennCFQfic_2	0.02752	0.02737
LennCFQfic_3	0.03101	0.02821
LennCFQfic_4	0.03189	0.02651
58125_0	0.11031	0.01887
58125_1	0.05193	0.02535
58125_2	0.03114	0.01805
58125_3	0.03671	0.01777
58125_4	0.18588	0.01855
LewiMMRfic_0	0.08463	0.04417
LewiMMRfic_1	0.02318	0.0402
LewiMMRfic_2	0.01727	0.03627
32511_0	0.0294	0.02064
32511_1	0.00744	0.02008
32511_2	0.00322	0.02065
32511_3	0.01397	0.01972
32511_4	0.52261	0.01616
48446_0	0.59368	0.01077
48446_1	0.03317	0.01302
50553_0	0.07743	0.00235
johnston.01_0	0.18843	0.1578
johnston.01_1	0.37905	0.15121
johnston.01_10	0.40325	0.15887
johnston.01_11	0.97151	0.16494
johnston.01_2	0.04586	0.14937
johnston.01_3	0.0322	0.15118
johnston.01_4	0.94727	0.16809
johnston.01_5	0.19785	0.15048
johnston.01_6	0.74563	0.14397
johnston.01_7	0.05117	0.16356
johnston.01_8	0.03214	0.16543
johnston.01_9	0.63002	0.16416
32089_0	0.06098	0.01892
33185_0	0.03498	0.00736
33185_1	0.00298	0.00836
33185_2	0.01023	0.01066
33185_3	0.00179	0.01064
33185_4	0.07883	0.01136
33185_5	0.00732	0.01239
33185_6	0.03709	0.00568
36016_0	0.17735	0.00625
36016_1	0.01344	0.00707
36016_2	0.02214	0.00747
36016_3	0.01475	0.00678
36016_4	0.02609	0.0078
36016_5	0.01941	0.00672
39709_0	0.0027	0.02424
39709_1	0.0	0.02043
39709_2	0.0	0.01939
39709_3	0.00507	0.01852
49985_0	0.10709	0.01119
49985_1	0.00475	0.01146
49985_2	0.00604	0.00991
49985_3	0.00454	0.00911
49985_4	0.00594	0.00841
49985_5	0.00527	0.00845
49985_6	0.0027	0.00817
49985_7	0.0063	0.00973
49985_8	0.0068	0.01342
6081_0	0.11932	0.01659
6081_1	0.07253	0.02095
6081_2	0.03901	0.02101
6081_3	0.04034	0.0199
6081_4	0.03577	0.0275
6081_5	0.04585	0.02744
6081_6	0.03818	0.01776
6081_7	0.06428	0.02134
6081_8	0.02835	0.01654
6081_9	0.04694	0.01928
45206_0	0.0134	0.01161
45206_1	0.00364	0.01255
45206_2	0.00435	0.01436
45206_3	0.00493	0.01072
45206_4	0.00565	0.00904
45206_5	0.00669	0.01147
45206_6	0.00635	0.00928
45206_7	0.0063	0.01138
45206_8	0.36022	0.00907
49979_0	0.03738	0.00405
49979_1	0.00286	0.00416
49979_2	0.00182	0.0046
49979_3	0.01968	0.00411
49979_4	0.00429	0.00286
49979_5	0.01467	0.00376
49979_6	0.0059	0.00435
468_0	0.34468	0.01015
468_1	0.00268	0.00813
468_2	0.00284	0.0118
468_3	0.01003	0.01374
468_4	0.01313	0.01013
1880_0	0.06943	0.00878
1880_1	0.02044	0.00862
1880_10	0.00734	0.01226
1880_11	0.01743	0.0145
1880_12	0.00887	0.01342
1880_2	0.08791	0.0102
1880_3	0.02092	0.00922
1880_4	0.04314	0.011
1880_5	0.0536	0.00907
1880_6	0.02779	0.0093
1880_7	0.02327	0.01248
1880_8	0.05396	0.0118
1880_9	0.02769	0.01337
32064_0	0.22127	0.00739
34830_0	0.56842	0.00581
